INFO 2024-05-16 09:02:52,835 autoreload 14 140407794355072 Watching for file changes with StatReloader
DEBUG 2024-05-16 09:02:52,838 autoreload 14 140407794355072 Waiting for apps ready_event.
DEBUG 2024-05-16 09:02:52,972 autoreload 14 140407794355072 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-05-16 09:02:53,012 autoreload 14 140407794355072 Watching dir /workspace/myapp/templates with glob **/*.
DEBUG 2024-05-16 09:02:53,017 autoreload 14 140407794355072 Watching dir /usr/local/lib/python3.12/site-packages/mptt/templates with glob **/*.
DEBUG 2024-05-16 09:02:53,024 autoreload 14 140407794355072 Watching dir /workspace/myapp/memorymap/templates with glob **/*.
DEBUG 2024-05-16 09:02:53,024 autoreload 14 140407794355072 Watching dir /workspace/myapp/accounts/templates with glob **/*.
DEBUG 2024-05-16 09:02:53,029 autoreload 14 140407794355072 Watching dir /workspace/myapp/locale with glob **/*.mo.
DEBUG 2024-05-16 09:02:53,033 autoreload 14 140407794355072 Watching dir /workspace/myapp/accounts/locale with glob **/*.mo.
DEBUG 2024-05-16 09:02:53,034 autoreload 14 140407794355072 Watching dir /workspace/myapp/memorymap/locale with glob **/*.mo.
DEBUG 2024-05-16 09:02:53,034 autoreload 14 140407794355072 Watching dir /usr/local/lib/python3.12/site-packages/mptt/locale with glob **/*.mo.
DEBUG 2024-05-16 09:02:53,182 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/core/serializers/json.py first seen with mtime 1713847791.1410098
DEBUG 2024-05-16 09:02:53,182 autoreload 14 140407794355072 File /usr/local/lib/python3.12/asyncio/protocols.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,183 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lib-dynload/_socket.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712759897.0
DEBUG 2024-05-16 09:02:53,183 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/core/checks/security/sessions.py first seen with mtime 1713847791.1210096
DEBUG 2024-05-16 09:02:53,183 autoreload 14 140407794355072 File /usr/local/lib/python3.12/importlib/__init__.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,183 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/core/checks/model_checks.py first seen with mtime 1713847791.1210096
DEBUG 2024-05-16 09:02:53,183 autoreload 14 140407794355072 File /usr/local/lib/python3.12/contextvars.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,183 autoreload 14 140407794355072 File /workspace/myapp/memorymap/admin.py first seen with mtime 1713329965.9025092
DEBUG 2024-05-16 09:02:53,184 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lib-dynload/select.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712759897.0
DEBUG 2024-05-16 09:02:53,184 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/middleware/security.py first seen with mtime 1713847791.18101
DEBUG 2024-05-16 09:02:53,184 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/contenttypes/checks.py first seen with mtime 1713847790.7110064
DEBUG 2024-05-16 09:02:53,184 autoreload 14 140407794355072 File /usr/local/lib/python3.12/email/__init__.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,184 autoreload 14 140407794355072 File /usr/local/lib/python3.12/datetime.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,184 autoreload 14 140407794355072 File /usr/local/lib/python3.12/ast.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,184 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/baseconv.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,185 autoreload 14 140407794355072 File /usr/local/lib/python3.12/json/__init__.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,185 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/core/handlers/wsgi.py first seen with mtime 1713847791.1210096
DEBUG 2024-05-16 09:02:53,185 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1713847791.0210087
DEBUG 2024-05-16 09:02:53,186 autoreload 14 140407794355072 File /usr/local/lib/python3.12/tokenize.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,186 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/psycopg2/_json.py first seen with mtime 1713847789.670998
DEBUG 2024-05-16 09:02:53,186 autoreload 14 140407794355072 File /usr/local/lib/python3.12/platform.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,186 autoreload 14 140407794355072 File /usr/local/lib/python3.12/locale.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,186 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/tree.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,186 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/models/sql/__init__.py first seen with mtime 1713847791.1610098
DEBUG 2024-05-16 09:02:53,187 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/template/autoreload.py first seen with mtime 1713847791.18101
DEBUG 2024-05-16 09:02:53,187 autoreload 14 140407794355072 File /usr/local/lib/python3.12/enum.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,187 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lzma.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,187 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/templatetags/l10n.py first seen with mtime 1713847791.19101
DEBUG 2024-05-16 09:02:53,187 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/mptt/settings.py first seen with mtime 1713847792.841023
DEBUG 2024-05-16 09:02:53,187 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/backends/ddl_references.py first seen with mtime 1713847791.1410098
DEBUG 2024-05-16 09:02:53,187 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/ipv6.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,188 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/forms/utils.py first seen with mtime 1713847791.17101
DEBUG 2024-05-16 09:02:53,188 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/sessions/models.py first seen with mtime 1713847791.0210087
DEBUG 2024-05-16 09:02:53,188 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1713847790.7110064
DEBUG 2024-05-16 09:02:53,188 autoreload 14 140407794355072 File /usr/local/lib/python3.12/unittest/suite.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,188 autoreload 14 140407794355072 File /usr/local/lib/python3.12/token.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,188 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/psycopg2/_ipaddress.py first seen with mtime 1713847789.670998
DEBUG 2024-05-16 09:02:53,188 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/functional.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,188 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/forms/models.py first seen with mtime 1713847791.17101
DEBUG 2024-05-16 09:02:53,189 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/translation/__init__.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,189 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1713847791.1110096
DEBUG 2024-05-16 09:02:53,189 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/auth/base_user.py first seen with mtime 1713847790.651006
DEBUG 2024-05-16 09:02:53,189 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/mptt/signals.py first seen with mtime 1713847792.841023
DEBUG 2024-05-16 09:02:53,189 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/conf/locale/__init__.py first seen with mtime 1713847790.291003
DEBUG 2024-05-16 09:02:53,189 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1713847791.0210087
DEBUG 2024-05-16 09:02:53,189 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/numberformat.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,190 autoreload 14 140407794355072 File /usr/local/lib/python3.12/email/mime/multipart.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,190 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/migrations/exceptions.py first seen with mtime 1713847791.1510098
DEBUG 2024-05-16 09:02:53,190 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lib-dynload/binascii.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712759897.0
DEBUG 2024-05-16 09:02:53,190 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/models/sql/where.py first seen with mtime 1713847791.17101
DEBUG 2024-05-16 09:02:53,190 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/models/fields/related.py first seen with mtime 1713847791.1610098
DEBUG 2024-05-16 09:02:53,190 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1713847791.1510098
DEBUG 2024-05-16 09:02:53,190 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/autoslug/__init__.py first seen with mtime 1713847789.6009977
DEBUG 2024-05-16 09:02:53,190 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/templatetags/__init__.py first seen with mtime 1713847791.19101
DEBUG 2024-05-16 09:02:53,191 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/backends/postgresql/base.py first seen with mtime 1713847791.1510098
DEBUG 2024-05-16 09:02:53,191 autoreload 14 140407794355072 File /usr/local/lib/python3.12/pprint.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,191 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/auth/validators.py first seen with mtime 1713847790.651006
DEBUG 2024-05-16 09:02:53,191 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/log.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,191 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/template/loaders/app_directories.py first seen with mtime 1713847791.19101
DEBUG 2024-05-16 09:02:53,191 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/admin/widgets.py first seen with mtime 1713847790.431004
DEBUG 2024-05-16 09:02:53,192 autoreload 14 140407794355072 File /workspace/myapp/accounts/models.py first seen with mtime 1714533082.6969545
DEBUG 2024-05-16 09:02:53,192 autoreload 14 140407794355072 File /usr/local/lib/python3.12/calendar.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,192 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/text.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,192 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/admin/helpers.py first seen with mtime 1713847790.431004
DEBUG 2024-05-16 09:02:53,192 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/backends/signals.py first seen with mtime 1713847791.1410098
DEBUG 2024-05-16 09:02:53,192 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/models/utils.py first seen with mtime 1713847791.1610098
DEBUG 2024-05-16 09:02:53,192 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/topological_sort.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,193 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/core/files/utils.py first seen with mtime 1713847791.1210096
DEBUG 2024-05-16 09:02:53,193 autoreload 14 140407794355072 File /usr/local/lib/python3.12/asyncio/events.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,194 autoreload 14 140407794355072 File /usr/local/lib/python3.12/email/_parseaddr.py first seen with mtime 1712759889.0
